rank,country_code,country_name,rider_name,rider_link,wins,seasons_active,first_win,last_win,is_champion,is_active_2025,row_index
1,ITA,Italy,Valentino Rossi,https://en.wikipedia.org/wiki/Valentino_Rossi,89,2000–2021,2000 500cc British Grand Prix,2017 MotoGP Dutch TT,True,False,1
2,ESP,Spain,Marc Márquez,https://en.wikipedia.org/wiki/Marc_M%C3%A1rquez,70,2013–,2013 MotoGP Grand Prix of the Americas,2025 MotoGP Czech Republic Grand Prix,True,True,2
3,ITA,Italy,Giacomo Agostini,https://en.wikipedia.org/wiki/Giacomo_Agostini,68,1965–1977,1965 500cc Finnish Grand Prix,1976 500cc West German Grand Prix,True,False,3
4,AUS,Australia,Mick Doohan,https://en.wikipedia.org/wiki/Mick_Doohan,54,1989–1999,1990 500cc Hungarian Grand Prix,1998 500cc Argentine Grand Prix,True,False,4
5,ESP,Spain,Jorge Lorenzo,https://en.wikipedia.org/wiki/Jorge_Lorenzo,47,2008–2019,2008 MotoGP Portuguese Grand Prix,2018 MotoGP Austrian Grand Prix,True,False,5
6,AUS,Australia,Casey Stoner,https://en.wikipedia.org/wiki/Casey_Stoner,38,2006–2012,2007 MotoGP Qatar Grand Prix,2012 MotoGP Australian Grand Prix,True,False,6
7,UK,United Kingdom,Mike Hailwood,https://en.wikipedia.org/wiki/Mike_Hailwood,37,1958–1967,1961 500cc Isle of Man TT,1967 500cc Canadian Grand Prix,True,False,7
8,USA,United States,Eddie Lawson,https://en.wikipedia.org/wiki/Eddie_Lawson,31,1983–1992,1984 500cc South African Grand Prix,1992 500cc Hungarian Grand Prix,True,False,8
8,ESP,Spain,Dani Pedrosa,https://en.wikipedia.org/wiki/Dani_Pedrosa,31,2006–201820212023–2024,2006 MotoGP Chinese Grand Prix,2017 MotoGP Valencian Grand Prix,True,False,9
10,ITA,Italy,Francesco Bagnaia,https://en.wikipedia.org/wiki/Francesco_Bagnaia,30,2019–,2021 MotoGP Aragon Grand Prix,2025 MotoGP Grand Prix of the Americas,True,True,10
11,USA,United States,Kevin Schwantz,https://en.wikipedia.org/wiki/Kevin_Schwantz,25,1986–1995,1988 500cc Japanese Grand Prix,1994 500cc British Grand Prix,True,False,11
12,USA,United States,Wayne Rainey,https://en.wikipedia.org/wiki/Wayne_Rainey,24,1988–1993,1988 500cc British Grand Prix,1993 500cc Czech Republic Grand Prix,True,False,12
13,UK,United Kingdom,Geoff Duke,https://en.wikipedia.org/wiki/Geoff_Duke,22,1950–1959,1950 500cc Isle of Man TT,1958 500cc Swedish Grand Prix,True,False,13
13,UK,United Kingdom,John Surtees,https://en.wikipedia.org/wiki/John_Surtees,22,19521954–1960,1956 500cc Isle of Man TT,1960 500cc Nations Grand Prix,True,False,14
13,USA,United States,Kenny Roberts,https://en.wikipedia.org/wiki/Kenny_Roberts,22,1978–1983,1978 500cc Austrian Grand Prix,1983 500cc San Marino Grand Prix,True,False,15
16,USA,United States,Freddie Spencer,https://en.wikipedia.org/wiki/Freddie_Spencer,20,1980–198719891993,1982 500cc Belgian Grand Prix,1985 500cc Swedish Grand Prix,True,False,16
17,UK,United Kingdom,Barry Sheene,https://en.wikipedia.org/wiki/Barry_Sheene,19,1974–1984,1975 500cc Dutch TT,1981 500cc Swedish Grand Prix,True,False,17
18,AUS,Australia,Wayne Gardner,https://en.wikipedia.org/wiki/Wayne_Gardner,18,1983–1992,1986 500cc Spanish Grand Prix,1992 500cc British Grand Prix,True,False,18
19,ESP,Spain,Àlex Crivillé,https://en.wikipedia.org/wiki/%C3%80lex_Crivill%C3%A9,15,1992–2001,1992 500cc Dutch TT,2000 500cc French Grand Prix,True,False,19
19,ITA,Italy,Andrea Dovizioso,https://en.wikipedia.org/wiki/Andrea_Dovizioso,15,2008–2022,2009 MotoGP British Grand Prix,2020 MotoGP Austrian Grand Prix,True,False,20
21,USA,United States,Randy Mamola,https://en.wikipedia.org/wiki/Randy_Mamola,13,1979–19901992,1980 500cc Belgian Grand Prix,1987 500cc San Marino Grand Prix,False,False,21
21,ITA,Italy,Max Biaggi,https://en.wikipedia.org/wiki/Max_Biaggi,13,1998–2005,1998 500cc Japanese Grand Prix,2004 MotoGP German Grand Prix,True,False,22
23,UK,United Kingdom,Phil Read,https://en.wikipedia.org/wiki/Phil_Read,11,1961–196419711973–1976,1964 500cc Ulster Grand Prix,1975 500cc Czechoslovak Grand Prix,True,False,23
23,FRA,France,Fabio Quartararo,https://en.wikipedia.org/wiki/Fabio_Quartararo,11,2019–,2020 MotoGP Spanish Grand Prix,2022 MotoGP German Grand Prix,True,True,24
25,ESP,Spain,Maverick Viñales,https://en.wikipedia.org/wiki/Maverick_Vi%C3%B1ales,10,2015–,2016 MotoGP British Grand Prix,2024 MotoGP Grand Prix of the Americas,True,True,25
26,ESP,Spain,Sete Gibernau,https://en.wikipedia.org/wiki/Sete_Gibernau,9,1997–20062009,2001 500cc Valencian Grand Prix,2004 MotoGP Qatar Grand Prix,False,False,26
26,ITA,Italy,Loris Capirossi,https://en.wikipedia.org/wiki/Loris_Capirossi,9,1995–19962000–2011,1996 500cc Australian Grand Prix,2007 MotoGP Japanese Grand Prix,True,False,27
28,RAN,Federation of Rhodesia and Nyasaland,Gary Hocking,https://en.wikipedia.org/wiki/Gary_Hocking,8,1958–19591961–1962,1961 500cc West German Grand Prix,1962 500cc Isle of Man TT,True,False,28
28,ITA,Italy,Luca Cadalora,https://en.wikipedia.org/wiki/Luca_Cadalora,8,19891993–2000,1993 500cc British Grand Prix,1996 500cc German Grand Prix,True,False,29
28,USA,United States,Kenny Roberts Jr.,https://en.wikipedia.org/wiki/Kenny_Roberts_Jr.,8,1996–2007,1999 500cc Malaysian Grand Prix,2000 500cc Pacific Grand Prix,True,False,30
28,ESP,Spain,Jorge Martín,https://en.wikipedia.org/wiki/Jorge_Mart%C3%ADn,8,2021–,2021 MotoGP Styrian Grand Prix,2024 MotoGP Indonesian Grand Prix,True,True,31
32,BRA,Brazil,Alex Barros,https://en.wikipedia.org/wiki/Alex_Barros,7,1990–20052007,1993 500cc FIM Grand Prix,2005 MotoGP Portuguese Grand Prix,False,False,32
32,ITA,Italy,Enea Bastianini,https://en.wikipedia.org/wiki/Enea_Bastianini,7,2021–,2022 MotoGP Qatar Grand Prix,2024 MotoGP Emilia Romagna Grand Prix,True,True,33
34,ITA,Italy,Umberto Masetti,https://en.wikipedia.org/wiki/Umberto_Masetti,6,1950–19521954–1958,1950 500cc Belgian Grand Prix,1955 500cc Nations Grand Prix,True,False,34
34,ITA,Italy,Marco Lucchinelli,https://en.wikipedia.org/wiki/Marco_Lucchinelli,6,1975–1986,1980 500cc German Grand Prix,1981 500cc Finnish Grand Prix,True,False,35
34,ESP,Spain,Álex Rins,https://en.wikipedia.org/wiki/%C3%81lex_Rins,6,2017–,2019 MotoGP Grand Prix of the Americas,2023 MotoGP Grand Prix of the Americas,False,True,36
37,UK,United Kingdom,Leslie Graham,https://en.wikipedia.org/wiki/Leslie_Graham,5,1949–1953,1949 500cc Swiss Grand Prix,1952 500cc Spanish Grand Prix,True,False,37
37,NED,Netherlands,Wil Hartog,https://en.wikipedia.org/wiki/Wil_Hartog,5,1972–19731975–1981,1977 500cc Dutch TT,1980 500cc Finnish Grand Prix,False,False,38
37,ITA,Italy,Franco Uncini,https://en.wikipedia.org/wiki/Franco_Uncini,5,1979–1985,1982 500cc Austrian Grand Prix,1982 500cc British Grand Prix,True,False,39
